id,hash,language,author_name,author_age,author_sex,receiver_sex,text_raw_numtokens,year,month,day,text_type
20,af7d765fd3f1518843b31c38edfd2f97d10ac05d628ac92486df4d44c04d778f,en,George Orwell,32,m,m,516,1935,1,3,letter
21,d13ff8abaa27eed97e5032329cf7e2d33abfcf9a3029426fef718b415ac4737c,en,George Orwell,32,m,m,296,1935,1,10,letter
26,31894193e200d72378531252ecdca3e1db0b70e7ea29df0490dcfb25b305ce8e,en,George Orwell,33,m,m,565,1935,12,22,letter
173,ef60e0fdd5fbd3dbf3374f9b12dc126cdebf6826d32bc10225c5af54684aba2a,en,George Orwell,44,m,m,193,1946,6,16,letter
27,b053f937204a8fe4789a6ea15a4c61f3ae3b353ba16f48e84177ec713ad2963d,en,George Orwell,33,m,m,369,1936,2,24,letter
184,d348955a6ffdfafd6335cc9316d2869dbfaaa8025863827635645d5da59241ff,en,George Orwell,44,m,m,480,1946,9,28,letter
28,8c5fc539d291a15ce35f7b426d54842109127d3f23cf7a406e99afa881fe6082,en,George Orwell,33,m,m,543,1936,3,17,letter
31,4345bb8d7b99906c05a866a9dc30be1174e16258e2e657be7648a3562453c872,en,George Orwell,34,m,m,517,1936,6,9,letter
32,452ccabecfd13f2e5ea8a8ddfaf69f492b03dbcd71ffab07860836d1ce55dc8a,en,George Orwell,34,m,m,1159,1936,8,26,letter
37,bb331b67e606031183c81a7cf543574095972bf795a4ddb1d0b1a7e010a04082,en,George Orwell,34,m,f,793,1937,4,5,letter
39,8871f2e716ae054ad69ceb648934d7756a0e41e1aec726c8c93b96b1512fd94c,en,George Orwell,34,m,m,491,1937,5,9,letter
41,b2ce4a0881a8f3755b7a4ebbeb59284be6401ef7f10795dc178ed9786673b2f5,en,George Orwell,35,m,m,1015,1937,7,31,letter
42,963c754a84bbbab9ab258fc4ca66dda9d58dbe92d5cb8be9eb1d16551496853e,en,George Orwell,35,m,f,1013,1937,8,2,letter
43,15886da14ab96f6a09445ac131738de4881b94d2b06282cc22b331c6edf11110,en,George Orwell,35,m,m,890,1937,8,20,letter
44,130a3216a378c10b33561d07dc8195dfeba51da4c7193b2950cd275e9eda3912,en,George Orwell,35,m,m,1199,1937,9,15,letter
52,d89138807cea3efa0c5f2114f0ddea7d88221b233a15310a143068b09884ef13,en,George Orwell,35,m,m,428,1938,4,18,letter
